0.102 0.319 0.565
0.204 0.452 0.672
0.306 0.553 0.744
0.408 0.639 0.799
0.510 0.714 0.845
0.612 0.782 0.885
0.714 0.845 0.919
0.816 0.904 0.951
0.918 0.958 0.979
1.020 1.010 1.005
1.122 1.059 1.029
1.224 1.107 1.052
1.327 1.152 1.073
1.429 1.195 1.093
1.531 1.237 1.112
1.633 1.278 1.130
1.735 1.317 1.148
1.837 1.355 1.164
1.939 1.392 1.180
2.041 1.429 1.195
2.143 1.464 1.210
2.245 1.498 1.224
2.347 1.532 1.238
2.449 1.565 1.251
2.551 1.597 1.264
2.653 1.629 1.276
2.755 1.660 1.288
2.857 1.690 1.300
2.959 1.720 1.312
3.061 1.750 1.323
3.163 1.779 1.334
3.265 1.807 1.344
3.367 1.835 1.355
3.469 1.863 1.365
3.571 1.890 1.375
3.673 1.917 1.384
3.776 1.943 1.394
3.878 1.969 1.403
3.980 1.995 1.412
4.082 2.020 1.421
4.184 2.045 1.430
4.286 2.070 1.439
4.388 2.095 1.447
4.490 2.119 1.456
4.592 2.143 1.464
4.694 2.167 1.472
4.796 2.190 1.480
4.898 2.213 1.488
5.000 2.236 1.495
